# Exported by NS Web Analytics on 2025-12-18 21:51:47
# CSV Version=0.1.0
deviceTime,latitude,longitude,altitude,speed,accuracy,missionId,recordNumber,sourceAddress,destinationAddress,bssid,beaconInterval,serviceSetType,ssid,supportedRates,extendedSupportedRates,cipherSuites,akmSuites,encryptionType,wps,channel,frequencyMhz,signalStrength,snr,nodeType,standard,passpoint,bandwidth,deviceSerialNumber,locationAge
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,505,,,c6:50:9c:dc:6c:82,,,christianskingdom,,,,,WPA2_WPA3,true,157,0,-73,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,506,,,c4:50:9c:e3:6c:83,,,christianskingdom,,,,,WPA3,false,133,0,-87,0,,IEEE80211AX,,MHZ_160,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,507,,,c6:4f:d5:6a:b3:c6,,,Xfinity Mobile,,,,,WPA2,false,157,0,-66,0,,IEEE80211AX,true,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,508,,,c6:50:9c:dc:6c:84,,,xfinitywifi,,,,,OPEN,false,157,0,-72,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,509,,,c4:4f:d5:71:b3:c3,,,mk2025,,,,,WPA3,false,69,0,-85,0,,IEEE80211AX,,MHZ_160,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,510,,,b4:63:6f:7b:6e:c8,,,yash wifi,,,,,WPA2,true,52,0,-43,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,511,,,48:e2:ad:d5:a1:b8,,,KR_MR,,,,,WPA2,true,44,0,-82,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,512,,,bc:9a:8e:e7:b7:ac,,,NOOBZ ONLY,,,,,WPA2,true,132,0,-83,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,513,,,c6:4f:d5:63:3f:51,,,Taitel 2.4 GHz,,,,,WPA2_WPA3,true,6,0,-81,0,,IEEE80211AX,,MHZ_20,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,514,,,b4:63:6f:7b:6e:c4,,,yash wifi,,,,,WPA2,true,10,0,-35,0,,IEEE80211N,,MHZ_20,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,515,,,b4:63:6f:7b:6e:c5,,,OCEANUS,,,,,WPA2,false,10,0,-35,0,,IEEE80211N,,MHZ_20,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,516,,,bc:9a:8e:e7:b7:af,,,,,,,,WPA2,false,132,0,-83,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,517,,,ee:79:0a:4e:00:0d,,,,,,,,WPA2,false,44,0,-55,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
