# Exported by NS Web Analytics on 2025-12-18 21:51:58
# CSV Version=0.1.0
deviceTime,latitude,longitude,altitude,speed,accuracy,missionId,recordNumber,sourceAddress,destinationAddress,signalStrength,txPower,technology,supportedTechnologies,otaDeviceName,channel,deviceSerialNumber,locationAge,addressType,deviceClass,serviceUuids,companyId
2025-12-18T21:49:19.883279Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,347,28:6B:B4:2B:6D:5C,,-101,0,,LE,Fridge,0,eb2c381c6eea8179,2427,,,,75
2025-12-18T21:49:19.864468Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,346,1C:E8:9E:5B:E6:60,,-80,0,,LE,Samsung Range,0,eb2c381c6eea8179,2408,,,,75
2025-12-18T21:49:04.662186Z,42.152433,-88.025601,188.3,0,4,NS eb2c381c6eea8179 20251218-154456,345,7F:AF:70:8C:7A:0F,,-99,0,,DUAL,,0,eb2c381c6eea8179,2732,,,,
2025-12-18T21:49:04.020611Z,42.152433,-88.025601,188.3,0,4,NS eb2c381c6eea8179 20251218-154456,344,48:E1:5C:72:07:54,,-87,0,,DUAL,,0,eb2c381c6eea8179,2091,,,,
2025-12-18T21:49:02.729809Z,42.152433,-88.025601,188.3,0,4,NS eb2c381c6eea8179 20251218-154456,343,5B:2F:02:39:65:C1,,-94,0,,DUAL,,0,eb2c381c6eea8179,800,,,,
2025-12-18T21:49:02.13664Z,42.152433,-88.025601,188.3,0,4,NS eb2c381c6eea8179 20251218-154456,342,71:B4:DE:ED:52:EC,,-86,0,,DUAL,,0,eb2c381c6eea8179,207,,,,
2025-12-18T21:49:01.836496Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,341,48:CA:43:F7:12:CE,,-95,0,,LE,PitPat-T01,0,eb2c381c6eea8179,4913,,,,
2025-12-18T21:49:01.799299Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,340,CE:F8:03:86:07:60,,-85,0,,LE,Govee_H6056_0760,0,eb2c381c6eea8179,4876,,,,
2025-12-18T21:49:01.512809Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,339,CB:3B:4B:5F:5E:C1,,-97,0,,LE,LE-Beats Pill,0,eb2c381c6eea8179,4589,,,,
2025-12-18T21:49:00.473654Z,42.152433,-88.025605,187.9,0.1,6,NS eb2c381c6eea8179 20251218-154456,338,54:6B:3C:AA:EA:A6,,-71,0,,DUAL,,0,eb2c381c6eea8179,3550,,,,
